2019 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
H0104,Local CCP,Blue Cross And Blue Shield Of Alabama,Blue Advantage (PPO),BlueCross BlueShield of Alabama,77%,73%,73%,66%,84%,47%,100%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,51%,68%,96%,83%,80%,76%,53%,51%,69%,10%,77%,85,75,91,86,87,85,0.04,3%,Medicare shows only a Star Rating for this topic,97%,91%,97%,93%,0.6,86%,0.04,3%,Medicare shows only a Star Rating for this topic,84,90,97,81%,84%,81%,64%,75%
H0107,Local CCP,Health Care Service Corporation,Blue Cross and Blue Shield of Montana,Health Care Service Corporation,74%,72%,76%,72%,82%,47%,91%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,30%,67%,93%,79%,73%,77%,46%,46%,48%,10%,83%,83,80,86,87,78,87,0.20,Not enough data available,Medicare shows only a Star Rating for this topic,74%,59%,98%,97%,0.3,95%,0.20,Not enough data available,Medicare shows only a Star Rating for this topic,79,89,98,83%,87%,84%,69%,73%
H0111,Local CCP,"Wellcare Of Georgia, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,95%,88%,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0137,Demo,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",No data available,No data available,Plan too small to be measured,Not enough data available,Not enough data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0148,Demo,Care1st Health Plan,Blue Shield of California Promise Health Plan,California Physicians' Service,No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0154,Local CCP,"Viva Health, Inc.",VIVA Medicare,UAB Health System,77%,79%,71%,69%,83%,50%,99%,75%,98%,96%,97%,79%,81%,97%,82%,72%,81%,52%,36%,71%,7%,77%,87,77,93,88,91,86,0.05,5%,Medicare shows only a Star Rating for this topic,98%,93%,97%,98%,0.7,Not enough data available,0.05,5%,Medicare shows only a Star Rating for this topic,89,93,99,79%,81%,79%,77%,77%
H0169,Local CCP,"Unitedhealthcare Of The Midwest, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,98%,100%,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0174,Local CCP,"Wellcare Of Texas, Inc.",WellCare,"WellCare Health Plans, Inc.",Not enough data available,81%,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,100%,69%,91%,78%,93%,Not enough data available,61%,No data available,70%,67%,Not enough data available,No data available,No data available,36%,No data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,97%,97%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,99,76%,77%,74%,52%,79%
H0192,Demo,"Amerihealth Michigan, Inc.",AmeriHealth Caritas VIP Care Plus,"Independence Health Group, Inc.",No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0251,Local CCP,"Unitedhealthcare Plan Of The River Valley, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",67%,74%,65%,69%,79%,39%,98%,51%,95%,88%,96%,23%,73%,99%,74%,67%,67%,61%,41%,43%,11%,78%,87,79,92,87,92,86,0.12,5%,Medicare shows only a Star Rating for this topic,100%,95%,98%,100%,0.8,Not enough data available,0.12,5%,Medicare shows only a Star Rating for this topic,89,93,99,78%,79%,78%,75%,77%
H0270,Local CCP,Wellcare Health Insurance Company Of America,WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0271,Local CCP,"Symphonix Health Insurance, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0281,Demo,Illinicare Health Plan,IlliniCare Health,Centene Corporation,No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0292,Local CCP,"Humana Health Plan Of Ohio, Inc.",Humana,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0294,Local CCP,Care Improvement Plus Wisconsin Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",77%,78%,73%,71%,86%,53%,99%,63%,93%,86%,93%,43%,74%,99%,83%,74%,85%,47%,44%,57%,10%,83%,85,83,91,87,85,88,0.04,11%,Medicare shows only a Star Rating for this topic,94%,94%,98%,97%,1.3,Not enough data available,0.04,11%,Medicare shows only a Star Rating for this topic,83,91,99,86%,87%,85%,71%,82%
H0302,Local CCP,"Medisun, Inc.",Blue Cross Blue Shield of Arizona Advantage,"Veritage, LLC",74%,65%,71%,65%,81%,51%,100%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,31%,62%,96%,83%,76%,72%,54%,45%,69%,9%,74%,79,78,89,84,84,84,0.13,19%,Medicare shows only a Star Rating for this topic,93%,86%,97%,98%,1.7,75%,0.13,19%,Medicare shows only a Star Rating for this topic,82,91,99,82%,85%,82%,52%,75%
H0321,Local CCP,"Arizona Physicians Ipa, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",68%,71%,64%,72%,76%,48%,95%,46%,91%,79%,92%,38%,77%,96%,71%,60%,71%,58%,53%,39%,9%,77%,81,76,89,84,88,81,0.12,5%,Medicare shows only a Star Rating for this topic,98%,95%,98%,100%,1.9,92%,0.12,5%,Medicare shows only a Star Rating for this topic,86,90,99,76%,77%,74%,66%,77%
H0332,Local CCP,"Ks Plan Administrators, Llc",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",84%,82%,83%,71%,84%,60%,100%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,57%,82%,99%,87%,94%,88%,49%,48%,80%,9%,80%,89,84,93,92,93,89,0.08,3%,Medicare shows only a Star Rating for this topic,100%,96%,95%,93%,0.0,Not enough data available,0.08,3%,Medicare shows only a Star Rating for this topic,89,93,98,83%,85%,82%,91%,83%
H0336,Demo,"Humana Health Plan, Inc.",Humana,Humana Inc.,No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0351,Local CCP,"Health Net Of Arizona, Inc.",Allwell,Centene Corporation,69%,66%,65%,76%,85%,46%,100%,51%,100%,100%,98%,52%,77%,97%,86%,77%,73%,51%,35%,55%,10%,74%,78,74,87,82,78,81,0.25,15%,Medicare shows only a Star Rating for this topic,95%,89%,94%,94%,0.0,Not enough data available,0.25,15%,Medicare shows only a Star Rating for this topic,80,87,98,79%,82%,79%,78%,77%
H0354,Local CCP,"Cigna Healthcare Of Arizona, Inc.",Cigna,CIGNA,83%,83%,77%,70%,84%,52%,100%,91%,99%,98%,99%,65%,88%,99%,90%,88%,75%,55%,44%,82%,8%,72%,85,78,89,87,89,86,0.10,7%,Medicare shows only a Star Rating for this topic,94%,89%,95%,98%,41.0,62%,0.10,7%,Medicare shows only a Star Rating for this topic,87,92,98,80%,84%,82%,88%,79%
H0422,Local CCP,"Ucare Health, Inc.",UCare,UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0423,Local CCP,"Metroplus Health Plan, Inc.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,82%,78%,69%,72%,85%,59%,98%,53%,95%,94%,95%,Not enough data available,76%,96%,78%,90%,93%,78%,Not enough data available,64%,16%,87%,78,70,86,82,86,84,0.17,19%,Medicare shows only a Star Rating for this topic,100%,100%,97%,92%,0.0,Not enough data available,0.17,19%,Medicare shows only a Star Rating for this topic,85,89,99,80%,79%,75%,80%,85%
