2018 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,
H0104,Local CCP,Blue Cross And Blue Shield Of Alabama,Blue Advantage (PPO),BlueCross BlueShield of Alabama,76%,74%,66,62%,85%,49%,99%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,46%,62%,97%,84%,79%,76%,46%,48%,47%,10%,85,74,91,86,87,86,0.04,4%,100,Medicare shows only a Star Rating for this topic,96%,90%,92%,90%,0.0,82%,0.04,4%,100,Medicare shows only a Star Rating for this topic,82,90,98,80%,83%,79%,47%
H0107,Local CCP,Health Care Service Corporation,Blue Cross and Blue Shield of Montana,Health Care Service Corporation,66%,61%,70,Plan too new to be measured,Plan too new to be measured,41%,76%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,20%,60%,91%,65%,52%,80%,52%,42%,42%,8%,84,80,89,85,83,87,0.19,3%,40,Medicare shows only a Star Rating for this topic,81%,83%,96%,93%,0.0,84%,0.19,3%,40,Medicare shows only a Star Rating for this topic,82,91,98,83%,85%,83%,71%
H0111,Local CCP,"Wellcare Of Georgia, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0137,Demo,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0148,Demo,Care1st Health Plan,Care1st Health Plan,California Physicians' Service,No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0150,Local CCP,"Healthspring Of Alabama, Inc.",Cigna-HealthSpring,CIGNA,79%,79%,67,68%,83%,45%,99%,83%,95%,96%,97%,81%,84%,100%,87%,69%,70%,60%,40%,70%,11%,86,76,92,88,88,88,0.16,12%,0,Medicare shows only a Star Rating for this topic,76%,74%,Not enough data available,Not enough data available,20.3,72%,0.16,12%,0,Medicare shows only a Star Rating for this topic,87,91,97,74%,76%,73%,71%
H0154,Local CCP,"Viva Health, Inc.",VIVA Medicare,UAB Health System,75%,79%,67,66%,84%,46%,99%,76%,98%,94%,98%,72%,73%,96%,80%,73%,74%,57%,42%,59%,8%,86,77,94,88,91,87,0.06,5%,100,Medicare shows only a Star Rating for this topic,100%,93%,96%,94%,1.6,100%,0.06,5%,100,Medicare shows only a Star Rating for this topic,87,93,99,79%,81%,77%,69%
H0169,Local CCP,"Unitedhealthcare Of The Midwest, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0174,Local CCP,"Today's Options Of Texas, Inc.","Universal American, A WellCare Company","WellCare Health Plans, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,69%,88%,63%,93%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,97%,100%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Plan too small to be measured,Plan too small to be measured,99,77%,69%,74%,46%
H0192,Demo,"Amerihealth Michigan, Inc.",AmeriHealth Caritas VIP Care Plus,AMHP Holdings Corp.,No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0251,Local CCP,"Unitedhealthcare Plan Of The River Valley, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",67%,70%,64,64%,91%,43%,97%,61%,92%,83%,92%,28%,69%,96%,72%,59%,67%,63%,45%,46%,9%,85,78,94,86,93,86,0.13,8%,40,Medicare shows only a Star Rating for this topic,97%,100%,98%,98%,0.2,100%,0.13,8%,40,Medicare shows only a Star Rating for this topic,90,93,99,77%,77%,76%,46%
H0281,Demo,Illinicare Health Plan,IlliniCare Health,Centene Corporation,No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,No data available,No data available,No data available,No data available,No data available
H0294,Local CCP,Care Improvement Plus Wisconsin Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",77%,76%,71,75%,88%,41%,99%,74%,92%,83%,92%,48%,67%,97%,82%,72%,86%,46%,47%,53%,10%,85,82,89,85,83,87,0.17,16%,40,Medicare shows only a Star Rating for this topic,100%,100%,99%,99%,0.0,Not enough data available,0.17,16%,40,Medicare shows only a Star Rating for this topic,82,90,99,88%,86%,83%,52%
H0302,Local CCP,"Medisun, Inc.",Blue Cross Blue Shield of Arizona Advantage,"Veritage, LLC",77%,56%,69,65%,84%,51%,89%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,24%,58%,94%,61%,67%,74%,58%,46%,11%,9%,84,77,90,86,86,86,0.14,8%,100,Medicare shows only a Star Rating for this topic,63%,87%,100%,97%,7.0,84%,0.14,8%,100,Medicare shows only a Star Rating for this topic,86,92,99,82%,84%,81%,45%
H0321,Local CCP,"Arizona Physicians Ipa, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",67%,69%,67,73%,78%,48%,94%,62%,91%,80%,93%,32%,70%,97%,74%,59%,69%,60%,43%,45%,9%,81,75,91,83,90,80,0.15,6%,40,Medicare shows only a Star Rating for this topic,100%,97%,98%,98%,0.5,Not enough data available,0.15,6%,40,Medicare shows only a Star Rating for this topic,87,90,99,75%,75%,72%,43%
H0332,Local CCP,"Ks Plan Administrators, Llc",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",84%,82%,80,68%,80%,62%,100%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,49%,81%,98%,87%,93%,88%,57%,45%,46%,10%,87,82,93,90,93,89,0.05,6%,80,Medicare shows only a Star Rating for this topic,100%,96%,99%,99%,0.0,Not enough data available,0.05,6%,80,Medicare shows only a Star Rating for this topic,90,92,98,83%,85%,82%,86%
H0336,Demo,"Humana Health Plan, Inc.",Humana Gold Plus Integrated,Humana Inc.,No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,No data available,No data available,No data available,No data available,No data available
H0351,Local CCP,"Health Net Of Arizona, Inc.",Allwell,Centene Corporation,69%,67%,64,65%,83%,45%,95%,49%,100%,97%,97%,40%,68%,98%,80%,68%,78%,59%,45%,27%,11%,79,77,87,83,81,82,0.22,20%,60,Medicare shows only a Star Rating for this topic,93%,80%,99%,95%,1.2,80%,0.22,20%,60,Medicare shows only a Star Rating for this topic,81,89,99,77%,80%,78%,72%
H0354,Local CCP,"Cigna Healthcare Of Arizona, Inc.",Cigna,CIGNA,82%,83%,70,72%,81%,48%,99%,90%,95%,94%,97%,74%,77%,99%,87%,84%,74%,56%,47%,74%,8%,84,77,90,85,87,86,0.17,13%,0,Medicare shows only a Star Rating for this topic,89%,88%,Not enough data available,Not enough data available,13.9,66%,0.17,13%,0,Medicare shows only a Star Rating for this topic,85,90,99,80%,83%,80%,78%
H0423,Local CCP,"Metroplus Health Plan, Inc.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,83%,74%,64,73%,88%,62%,97%,60%,91%,92%,91%,Not enough data available,77%,97%,78%,76%,74%,74%,Not enough data available,57%,14%,79,70,88,82,87,84,0.21,16%,100,Medicare shows only a Star Rating for this topic,92%,92%,93%,90%,0.0,Not enough data available,0.21,16%,100,Medicare shows only a Star Rating for this topic,85,89,99,77%,77%,71%,65%
H0432,Local CCP,"Unitedhealthcare Of Alabama, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0439,Local CCP,"Cigna Healthcare Of Georgia, Inc.",Cigna-HealthSpring,CIGNA,71%,77%,63,Plan too new to be measured,Plan too new to be measured,49%,98%,85%,92%,96%,97%,76%,78%,99%,79%,64%,78%,57%,38%,55%,11%,83,77,89,84,86,87,0.31,31%,0,Medicare shows only a Star Rating for this topic,84%,78%,Not enough data available,Not enough data available,28.8,78%,0.31,31%,0,Medicare shows only a Star Rating for this topic,84,89,98,74%,77%,72%,69%
H0480,Demo,"Meridian Health Plan Of Michigan, Inc.",MeridianComplete,"Caidan Enterprises, Inc.",No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0490,Local CCP,"Molina Healthcare Of Ohio, Inc.",Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,44%,93%,74%,93%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,97%,98%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Plan too small to be measured,Plan too small to be measured,99,71%,71%,66%,55%
