2020 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
H0088,Local CCP,"Wellcare Health Insurance Of New York, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,90%,79%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,100,No data available,No data available,No data available,Not enough data available,No data available
H0104,Local CCP,Blue Cross And Blue Shield Of Alabama,Blue Cross and Blue Shield of Alabama,BlueCross BlueShield of Alabama,77%,78%,76%,70%,80%,50%,100%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,58%,71%,97%,83%,77%,46%,47%,80%,10%,77%,86,75,93,87,89,86,0.03,3%,Medicare shows only a Star Rating for this topic,99%,94%,86%,88%,1.0,90%,0.03,3%,Medicare shows only a Star Rating for this topic,86,91,99,82%,85%,83%,65%,77%
H0107,Local CCP,Health Care Service Corporation,Blue Cross and Blue Shield of Montana,Health Care Service Corporation,76%,79%,76%,72%,84%,49%,95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,26%,74%,93%,84%,78%,44%,50%,55%,7%,83%,85,81,89,86,81,88,0.37,27%,Medicare shows only a Star Rating for this topic,45%,62%,100%,94%,0.5,100%,0.37,27%,Medicare shows only a Star Rating for this topic,80,90,99,85%,88%,86%,91%,76%
H0111,Local CCP,"Wellcare Of Georgia, Inc.",WellCare,"WellCare Health Plans, Inc.",78%,67%,68%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,58%,97%,69%,Not enough data available,Plan too new to be measured,Plan too new to be measured,54%,6%,Not enough data available,81,75,87,86,83,85,0.97,31%,Not enough data available,Not enough data available,Not enough data available,90%,79%,0.0,Not enough data available,0.97,31%,Not enough data available,83,89,100,80%,83%,76%,81%,75%
H0137,Demo,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",No data available,No data available,Plan too small to be measured,Not enough data available,Not enough data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0148,Demo,Blue Shield Of California Promise Health Plan,Blue Shield of California Promise Health Plan,California Physicians' Service,No data available,No data available,Plan too small to be measured,Not enough data available,Not enough data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0154,Local CCP,"Viva Health, Inc.",VIVA Medicare,"Triton Health Systems, L.L.C.",79%,83%,67%,67%,79%,51%,99%,82%,98%,95%,97%,76%,83%,97%,85%,86%,58%,43%,79%,6%,79%,85,77,93,86,90,85,0.05,6%,Medicare shows only a Star Rating for this topic,97%,98%,95%,98%,0.6,Not enough data available,0.05,6%,Medicare shows only a Star Rating for this topic,88,92,98,82%,84%,82%,80%,81%
H0169,Local CCP,"Unitedhealthcare Of The Midwest, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",61%,65%,72%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,98%,65%,92%,87%,95%,Not enough data available,74%,98%,78%,78%,Plan too new to be measured,Plan too new to be measured,59%,6%,Not enough data available,83,79,90,87,89,87,0.19,14%,Not enough data available,100%,100%,97%,95%,0.9,Not enough data available,0.19,14%,Not enough data available,87,90,99,83%,83%,83%,78%,80%
H0174,Local CCP,"Wellcare Of Texas, Inc.",WellCare,"WellCare Health Plans, Inc.",71%,73%,Plan too small to be measured,72%,85%,48%,99%,45%,90%,79%,91%,63%,75%,97%,79%,67%,66%,Not enough data available,53%,9%,81%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,27%,Not enough data available,Not enough data available,Not enough data available,90%,81%,Not enough data available,Not enough data available,Not enough data available,27%,Not enough data available,Plan too small to be measured,Plan too small to be measured,100,82%,80%,76%,82%,82%
H0192,Demo,"Amerihealth Michigan, Inc.",AmeriHealth Caritas VIP Care Plus,Independence Health Group,No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0251,Local CCP,"Unitedhealthcare Plan Of The River Valley, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",68%,73%,67%,74%,79%,40%,99%,61%,90%,85%,92%,53%,74%,97%,80%,70%,68%,37%,57%,7%,79%,86,79,92,87,92,86,0.09,6%,Medicare shows only a Star Rating for this topic,95%,98%,97%,95%,0.4,Not enough data available,0.09,6%,Medicare shows only a Star Rating for this topic,90,93,99,80%,80%,80%,82%,79%
H0270,Local CCP,Wellcare Health Insurance Company Of America,WellCare,"WellCare Health Plans, Inc.",Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,90%,81%,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0271,Local CCP,"Symphonix Health Insurance, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,98%,97%,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0281,Demo,Illinicare Health Plan,IlliniCare Health,Centene Corporation,No data available,No data available,Plan too small to be measured,Not enough data available,Not enough data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0292,Local CCP,"Humana Health Plan Of Ohio, Inc.",Humana,Humana Inc.,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,100%,97%,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0294,Local CCP,Care Improvement Plus Wisconsin Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",78%,79%,77%,64%,85%,54%,100%,68%,97%,92%,98%,43%,74%,98%,85%,88%,43%,46%,68%,8%,85%,85,82,89,87,85,89,0.11,13%,Medicare shows only a Star Rating for this topic,98%,100%,98%,98%,0.0,Not enough data available,0.11,13%,Medicare shows only a Star Rating for this topic,84,88,99,86%,88%,86%,75%,82%
H0302,Local CCP,"Medisun, Inc.",Blue Cross Blue Shield of Arizona Advantage,Blue Cross Blue Shield of Arizona,74%,67%,75%,67%,85%,50%,95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,38%,67%,96%,86%,74%,50%,54%,65%,8%,73%,79,73,90,84,85,84,0.08,19%,Medicare shows only a Star Rating for this topic,93%,86%,98%,95%,2.4,78%,0.08,19%,Medicare shows only a Star Rating for this topic,82,89,99,83%,85%,84%,CMS identified issues with this plan's data,77%
H0321,Local CCP,"Arizona Physicians Ipa, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",70%,76%,69%,69%,84%,52%,98%,53%,91%,81%,95%,45%,76%,96%,79%,71%,66%,46%,65%,7%,77%,80,77,89,85,89,83,0.14,8%,Medicare shows only a Star Rating for this topic,100%,92%,97%,95%,0.6,Not enough data available,0.14,8%,Medicare shows only a Star Rating for this topic,87,91,99,79%,81%,78%,77%,78%
H0332,Local CCP,"Ks Plan Administrators, Llc",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",84%,80%,80%,74%,84%,63%,99%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,67%,82%,100%,87%,86%,57%,51%,90%,9%,81%,88,83,94,92,93,89,0.06,3%,Medicare shows only a Star Rating for this topic,100%,99%,98%,95%,0.0,Not enough data available,0.06,3%,Medicare shows only a Star Rating for this topic,91,93,96,84%,87%,84%,89%,83%
H0336,Demo,"Humana Health Plan, Inc.",Humana,Humana Inc.,No data available,No data available,Plan too small to be measured,Not enough data available,Not enough data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0351,Local CCP,"Health Net Of Arizona, Inc.",Allwell,Centene Corporation,69%,64%,65%,66%,78%,42%,98%,31%,99%,94%,97%,36%,75%,96%,82%,68%,55%,42%,56%,8%,74%,80,75,83,83,76,83,0.58,14%,Medicare shows only a Star Rating for this topic,97%,91%,94%,94%,18.0,88%,0.58,14%,Medicare shows only a Star Rating for this topic,77,85,99,81%,83%,81%,90%,79%
H0354,Local CCP,"Cigna Healthcare Of Arizona, Inc.",Cigna,CIGNA,82%,82%,77%,66%,82%,51%,100%,86%,99%,99%,99%,77%,86%,99%,83%,77%,59%,44%,89%,7%,73%,82,80,91,88,89,86,0.12,5%,Medicare shows only a Star Rating for this topic,94%,90%,98%,94%,10.9,89%,0.12,5%,Medicare shows only a Star Rating for this topic,87,91,99,82%,85%,83%,91%,82%
H0422,Local CCP,"Ucare Health, Inc.",UCare,UCare Minnesota,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,97%,95%,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0423,Local CCP,"Metroplus Health Plan, Inc.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,83%,80%,72%,71%,79%,58%,98%,56%,95%,92%,96%,Not enough data available,79%,96%,82%,92%,77%,Not enough data available,75%,9%,85%,76,70,88,81,85,84,0.13,19%,Medicare shows only a Star Rating for this topic,100%,82%,92%,97%,0.0,Not enough data available,0.13,19%,Medicare shows only a Star Rating for this topic,85,91,99,83%,82%,79%,82%,87%
H0432,Local CCP,"Unitedhealthcare Of Alabama, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",68%,78%,58%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,100%,51%,94%,86%,96%,Not enough data available,73%,97%,81%,68%,Plan too new to be measured,Plan too new to be measured,64%,7%,Not enough data available,83,74,92,84,87,84,0.30,12%,Not enough data available,100%,97%,98%,97%,0.0,Not enough data available,0.30,12%,Not enough data available,86,91,99,78%,80%,76%,80%,76%
H0439,Local CCP,"Cigna Healthcare Of Georgia, Inc.",Cigna,CIGNA,77%,78%,66%,70%,80%,52%,99%,CMS identified issues with this plan's data,93%,98%,98%,75%,82%,99%,86%,73%,49%,41%,71%,8%,77%,83,75,89,84,86,87,0.18,22%,Medicare shows only a Star Rating for this topic,97%,92%,98%,97%,12.6,96%,0.18,22%,Medicare shows only a Star Rating for this topic,85,90,98,79%,81%,78%,72%,79%
H0473,Local CCP,Humana Insurance Company Of Kentucky,Humana,Humana Inc.,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,100%,97%,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
