2021 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,
H0074 ,Local CCP ,"WELLCARE OF MISSISSIPPI, INC. ",WellCare ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0088 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC. ",WellCare ,Centene Corporation ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,98%,97%,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,99,Not enough data available ,78%,78%,Not enough data available ,Not enough data available
H0104 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,Blue Cross and Blue Shield of Alabama ,BlueCross BlueShield of Alabama ,77%,78%,76,68%,81%,48%,100%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,58%,71%,97%,83%,77%,54%,49%,80%,77%,86,75,93,87,89,86,0.04,4%,Medicare shows only a Star Rating for this topic ,98%,95%,97%,98%,0.9,91%,0.04,4%,Medicare shows only a Star Rating for this topic ,86,91,99,84%,85%,83%,64%,80%
H0107 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of Montana ,Health Care Service Corporation ,76%,79%,76,68%,85%,49%,95%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,26%,74%,93%,84%,78%,49%,41%,55%,83%,85,81,89,86,81,88,0.19,5%,Medicare shows only a Star Rating for this topic ,92%,76%,94%,95%,0.7,90%,0.19,5%,Medicare shows only a Star Rating for this topic ,80,90,99,87%,89%,88%,91%,77%
H0111 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",WellCare ,Centene Corporation ,78%,67%,68,Plan too new to be measured ,Plan too new to be measured ,58%,98%,No data available ,No data available ,No data available ,No data available ,Not enough data available ,58%,97%,69%,Not enough data available ,Not enough data available ,Not enough data available ,54%,Not enough data available ,81,75,87,86,83,85,1.03,31%,Not enough data available ,Not enough data available ,Not enough data available ,98%,97%,0,Not enough data available ,1.03,31%,Medicare shows only a Star Rating for this topic ,83,89,99,78%,80%,80%,85%,78%
H0137 ,Demo ,"COMMONWEALTH CARE ALLIANCE, INC. ","Commonwealth Care Alliance, Inc. ","Commonwealth Care Alliance, Inc. ",No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0148 ,Demo ,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN ,Blue Shield of California Promise Health Plan ,California Physicians' Service ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0154 ,Local CCP ,"VIVA HEALTH, INC. ",VIVA Medicare ,"Triton Health Systems, L.L.C. ",79%,83%,67,68%,81%,50%,99%,89%,98%,95%,97%,76%,83%,97%,85%,86%,54%,44%,79%,79%,85,77,93,86,90,85,0.05,7%,Medicare shows only a Star Rating for this topic ,98%,96%,97%,98%,0.4,100%,0.05,7%,Medicare shows only a Star Rating for this topic ,88,92,98,83%,85%,84%,82%,82%
H0169 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDWEST, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",61%,65%,72,Plan too new to be measured ,Plan too new to be measured ,53%,98%,73%,92%,87%,95%,Not enough data available ,74%,98%,78%,78%,74%,Not enough data available ,59%,Not enough data available ,83,79,90,87,89,87,0.17,13%,Not enough data available ,100%,100%,98%,98%,0,Not enough data available ,0.17,13%,Medicare shows only a Star Rating for this topic ,87,90,99,84%,85%,86%,84%,82%
H0174 ,Local CCP ,"WELLCARE OF TEXAS, INC. ",WellCare ,Centene Corporation ,71%,73%,Plan too small to be measured ,61%,79%,58%,99%,55%,90%,79%,91%,63%,75%,97%,79%,67%,65%,Not enough data available ,53%,81%,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,0.39,26%,Not enough data available ,81%,89%,98%,97%,2.9,Not enough data available ,0.39,26%,Medicare shows only a Star Rating for this topic ,Plan too small to be measured ,Plan too small to be measured ,99,80%,80%,77%,81%,85%
H0192 ,Demo ,"AMERIHEALTH MICHIGAN, INC. ",AmeriHealth Caritas VIP Care Plus ,Independence Health Group ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0251 ,Local CCP ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",68%,73%,67,73%,74%,41%,99%,65%,90%,85%,92%,53%,74%,97%,80%,70%,62%,40%,57%,79%,86,79,92,87,92,86,0.13,10%,Medicare shows only a Star Rating for this topic ,95%,100%,98%,98%,0.3,Not enough data available ,0.13,10%,Medicare shows only a Star Rating for this topic ,90,93,99,81%,80%,81%,85%,80%
H0270 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,WellCare ,Centene Corporation ,Plan too small to be measured ,Plan too small to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too small to be measured ,No data available ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,98%,97%,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Plan too new to be measured ,Plan too new to be measured ,99,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available
H0271 ,Local CCP ,"SYMPHONIX HEALTH INSURANCE, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,64%,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,0.23,14%,Not enough data available ,100%,95%,97%,97%,0,100%,0.23,14%,Not enough data available ,Plan too new to be measured ,Plan too new to be measured ,99,85%,86%,85%,80%,83%
H0292 ,Local CCP ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana ,Humana Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,0.12,7%,Not enough data available ,Not enough data available ,Not enough data available ,100%,98%,2.4,Not enough data available ,0.12,7%,Not enough data available ,Plan too new to be measured ,Plan too new to be measured ,99,88%,88%,88%,86%,83%
H0294 ,Local CCP ,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",78%,79%,77,67%,76%,52%,100%,73%,97%,92%,98%,43%,74%,98%,85%,88%,52%,51%,68%,85%,85,82,89,87,85,89,0.1,10%,Medicare shows only a Star Rating for this topic ,98%,98%,96%,97%,0,Not enough data available ,0.1,10%,Medicare shows only a Star Rating for this topic ,84,88,99,88%,89%,87%,77%,83%
H0302 ,Local CCP ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona Advantage ,Blue Cross Blue Shield of Arizona ,74%,67%,75,74%,83%,49%,95%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,38%,67%,96%,86%,74%,53%,42%,65%,73%,79,73,90,84,85,84,0.07,14%,Medicare shows only a Star Rating for this topic ,98%,90%,100%,97%,3.9,74%,0.07,14%,Medicare shows only a Star Rating for this topic ,82,89,100,84%,86%,85%,53%,78%
H0321 ,Local CCP ,"ARIZONA PHYSICIANS IPA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",70%,76%,69,62%,75%,50%,98%,60%,91%,81%,95%,45%,76%,96%,79%,71%,66%,48%,65%,77%,80,77,89,85,89,83,0.18,7%,Medicare shows only a Star Rating for this topic ,96%,98%,98%,98%,0.2,Not enough data available ,0.18,7%,Medicare shows only a Star Rating for this topic ,87,91,99,82%,81%,81%,79%,80%
H0332 ,Local CCP ,"KS PLAN ADMINISTRATORS, LLC ",KelseyCare Advantage ,"Kelsey-Seybold Medical Group, PLLC ",84%,80%,80,76%,83%,64%,99%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,67%,82%,100%,87%,86%,55%,47%,90%,81%,88,83,94,92,93,89,0.06,3%,Medicare shows only a Star Rating for this topic ,100%,99%,93%,92%,0.7,Not enough data available ,0.06,3%,Medicare shows only a Star Rating for this topic ,91,93,94,86%,87%,86%,91%,84%
H0336 ,Demo ,"HUMANA HEALTH PLAN, INC. ",Humana ,Humana Inc. ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0342 ,Local CCP ,"CAREPARTNERS OF CONNECTICUT, INC. ",CarePartners of Connecticut ,"Tufts Health Plan, Inc ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0351 ,Local CCP ,"HEALTH NET OF ARIZONA, INC. ",Allwell ,Centene Corporation ,71%,66%,66,66%,77%,48%,98%,45%,99%,94%,97%,36%,75%,96%,82%,68%,53%,44%,55%,76%,80,75,84,83,77,83,0.38,21%,Not enough data available ,92%,85%,97%,98%,10.6,72%,0.38,21%,Not enough data available ,78,86,99,84%,84%,83%,93%,82%
H0354 ,Local CCP ,"CIGNA HEALTHCARE OF ARIZONA, INC. ",Cigna ,CIGNA ,82%,82%,77,69%,79%,50%,100%,88%,99%,99%,99%,77%,86%,99%,83%,77%,55%,45%,89%,73%,82,80,91,88,89,86,0.12,5%,Medicare shows only a Star Rating for this topic ,97%,93%,100%,98%,7.3,88%,0.12,5%,Medicare shows only a Star Rating for this topic ,87,91,98,85%,88%,87%,93%,84%
H0363 ,Local CCP ,"LONGEVITY HEALTH PLAN OF COLORADO, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
